lable_bert,label_lr,text
VEC,LMO,Oh che bella cosa!
VEC,LMO,"e sii trazeno de chaxa per altra porta che per la prinzipal, over i fano ronper el muro e trar7llo per quella via."
VEC,LLD,"Cardeme, l é duto vero."
NAP,VEC,"E non manzano se no semola in pasta chon aqua chalda, e zunano;"
LMO,VEC,E fì chiamà quella malla zente Charoonasi:
VEC,LMO,"Girossi il Duca, stringendo la mia mano:"
LLD,VEC,"No t in as assei de esse na gran sciora, ades te voraes anche deentà rejina!"
SC,VEC,Della morte de Mongu Chaan.
LLD,VEC,I vece i stà scentade là fin che vien scuro e se vede ra bronzes inze i forniei de ra pipes.
VEC,NAP,"Questi re èno dessessi dal re Allexandro et della figliola de Dario, re de Persia;"
SC,LMO,Vi lascio immaginare com'è andata a finire:
LIJ,VEC,I caxi en tanti!
LIJ,VEC,"quindi vôzenduse ou Pinocchiu, u ghe disse:"
NAP,LMO,me soso pe' ghi' a' scola?
EML,LMO,Tutt i'hann fatt al sô buccon m'è saltä quäsi un miliôn!Asto pret ad la malura cal ma fatt rastä pr'un ura seimpr in snocc'insim'un banc l'ha vuri des mila franc!
LLD,VEC,"fin che l ruaa, intrà ra foies Piero l à vedù taces de ogni color:"
LMO,VEC,Pürtroppu me stà ben!
EML,PMS,As sà cum i én i can:
LLD,VEC,"Amighe, ancuoi min é capità de dute i colore."
VEC,PMS,Ma sosto mato?
SC,FUR,"Tu salti, e inizi il lungo viaggio."
LIJ,SCN,"e doppu avei atastòu u pusu ou Pinocchiu, a ghe disse suspiandu:"
LIJ,VEC,La zità è tuta intorniata de molti belli zardini ch'èno pieni di nobelisimi fruti.
NAP,LMO,"corre 'o treno, corre, corre p' 'a campagna scura scura, io muresse d' 'a paura."
NAP,SCN,a l' ùurte stèie lu paparule è ce lu vùie tu vòggh' a pegghièue;
LMO,VEC,Quanto caver' è?
SCN,FUR,Alore Diu si svicinà a Mosè e lu bussà te bocje.
EML,LIJ,"T sintivi snò al bòti di martéll ch'li s déva vàusa e li s'atachéva, òna dri ma ch'l'aelta, t na cantiléna ch'l'a n smitòiva mai."
VEC,LMO,Truovase per quela via beli boschi e ben se pono chavalchare;
LLD,VEC,Biancognee ra i aea portà via l posto.
NAP,SCN,"aaaròòò attàccate lu cuà...anòòò, ca ije tt' l'accìche e nnu ' nte lu puà...aahòòò!"
VEC,PMS,el nonn à niuno solaro;
LLD,VEC,S on salvà co ra patina e ra mè idea.
VEC,LMO,Del palaxio del Gran Chaan.
LMO,EML,Ma a la fîn i' ho pensâ ch'l'îva ragiûn;
LIJ,SCN,"Inzomma, mangiateve coccosa, nun m'aviti mica venutu a truà pe ve murì de fame?"
VEC,LMO,"piuxor fiade li fo dadi CC omeni a chavallo che i achonpagniòno, e plui e meno che i aveva de bexognio per darge schorta de tera in tera."
LIJ,LMO,Ma l'ômettu u nu rize.
LIJ,LMO,"Nu stæv'a despiâ, padrun."
LIJ,VEC,"De Ciachamaor, dove se truova de zinque mainiere de grue;"
LLD,VEC,I à inpizà i farai e i s à inacorto alolo che ignante de lore l ea ruà calchedun.
SC,VEC,questo era il verbo urlato con livore.
LLD,LIJ,"E dute i à capì che chera l ea r idea meo, che l ea da ocupà propio l Colosseo."
LIJ,VEC,e in questo modo altrosì à le done che manzano alla chorte.
NAP,SCN,Ca pe mez'ora sola si' fedele.
VEC,LMO,"Le mior e lle plui famoxe cità de quella provinzia si èno Chomo, Cesare e Sabastala."
NAP,LLD,"Balota, torna inze!l m à dito sote osc Gian Luigi."
LLD,VEC,"L à lustrà polito ra pena, che ra se l meritaa, e l i à dito gramarzé ben de duto chel che r aea fato par el."
VEC,LLD,I doi pize i aea senpre acaro me
VEC,LLD,"l i 'soa desseguro ai jenitore, che par solito i sà poca stories e i no n é boi de res conta polito."
EML,LMO,"Pô gh'è al pret e gh'è i ciarghein, l'organista e anca al viulein, gh'è al tappeed,i drapp,i ciär e una mancia al campanär."
LLD,LMO,"Ma varda che un grun de outra robes es é mees, mees, nò de outre, e dute se res tol e coscita i inbroia l sò paron."
SC,VEC,"Vieni, e riposa la fronte qui, sul mio cuore."
FUR,EML,al dîṡ èt fât almànc al bâgn?
LLD,VEC,Varda ce de bela legnes che ei fato.
LLD,VEC,"l ea propio ra sò coda, che r aea lascià inze inze ra trapola par no se ciapà un fraco de legnades dal contadin."
SCN,NAP,Chi s' 'a fatta 'a pippa mia?.
FUR,LLD,In ce cundizions sino?
LLD,VEC,"zentomile steles dutes in fila, e daante ra luna, come na bandiera bianca."
SCN,NAP,"Questo, rimpetto, è il caffè di Diodati."
LLD,VEC,"Es s à cronpà alcuanta bicicletes, es à inparà con gran struscies a montà su e sonà l cianpanel;"
LLD,VEC,"El papagal l à ra pena verdes e 'sales e l craiaVoi stà daante ra funestrela, voi stà daante ra funestrela."
SC,VEC,"Amighe, 'sì inaante vosoutre."
LIJ,FUR,"Puin da pairin, muiña da mairiña e buiia da bairia."
SC,FUR,", e veve passe 2.600 socis."
LIJ,FUR,"Alua u giüddiçe, indicandu u Pinocchiu, u disse ae guardie:"
PMS,LLD,"Canche i é dute, i sonadore i scomenza a sonà."
SCN,LIJ,ma 'n'atra votta nu me faiô tantu pregâ!
LLD,VEC,"Doi militare i à brincà alolo chel por diou e i l à menà fora del palazo.I guardies i l à strozà in prejon e, canche l é passà par strada, ra 'sente ra i fejea jeste sora, ra craiaa e ra i ridea drio."
LIJ,ROA_TARA,Alua a Vurpe a disse sübbitu:
LMO,VEC,El se conza 'sò a r onbria de ra barba e l poussa.
FUR,NAP,"Amice, si ve dice."
SCN,LIJ,Tantu pezu pe ti!
LLD,PMS,"sa pare el l à ciamà Poulino, ra femenes es l à ciamà Poulino Salata."
SCN,LLD,"Nuia guera, sta sera?"
LLD,VEC,"Lea na ota un babo pescador, che l stajea con sò femena inze na ciaseta pede l mar."
VEC,LLD,"No n ebe festide, pesceto."
VEC,LIJ,De quella chontrà esie molti merchadanti che vano per el mondo fazando merchadantie.
SCN,SC,"Primma tie, e doppu mie!"
LLD,VEC,ra 'sente ra lea su da bonora e ra se damanda:
SCN,LIJ,resegundò ün da banda Cose ti creddi?
LMO,VEC,"Ce ne saranno, perché l'uva c'è, non è caduta e non è marcita."
LLD,VEC,Un numero de telefono pa ra barseletes sarae na bona idea.
LMO,LIJ,"T'hæ vusciüu fâ a moddu tö, ma ti mangjæ de repentiu!"
VEC,LMO,"E Marcho inparò bene i chostumi de' Tartari e lle uxanze e lla lengua loro, e in pocho tenpo inparò quelle letere."
NAP,PMS,"Le strade della zità sono molto large et èno drite chome fillo, et è sì drite che respondeno per longo da porta a porta."
SCN,VEC,ma femmu 'na cosa aa spedia.
SCN,VEC,"Iasdi è una zità molto bona de Persia, è grande e nobelle e de grande merchadantie."
NAP,VEC,St'anno m'é capitato 'navventura... dopo di aver compiuto il triste omaggio.
LIJ,VEC,ma mancu u fen u ghe piaxette.
LLD,VEC,No t as ancora vedù ce na pena che l é.
LIJ,VEC,"Le nave à solamente un arboro e una vela e uno timon, e no è coverta."
VEC,NAP,"Uh, algo de bel!"
LIJ,VEC,"E cuin buttu, u muntò a cavallun inscee stanghe."
FUR,VEC,"Quanti Ulisse ci saranno e ci sono stati nel mondo?, al à scrit intun libri di prose e poesie dal titul Allora vi diciamo alla nazione."
LLD,VEC,"Drio ra mè pugnon, inze l elenco del telefono mancia un grun de robes."
LMO,LIJ,Avèvena fò na bèlla féste!
LLD,PMS,Vo esse na bela catieria.
VEC,SC,"Seo cioco, scior Kum?"
LMO,VEC,El re i mandò a dir che i non doveseno albergar nesuno forestier plui a quel modo e che i non sostegniseno plui quel dexenor dele suo' moier.
VEC,NAP,"Bianchete, Legnete e Machete."
VEC,LMO,"Na bonora, apena descedà, i ei vedude scentade 'sò un pede l outro, deboto inbrazorade, che i fejea lunarie."
SCN,SC,Ti mou prumetti?
VEC,LIJ,quello è il Liceo Vittorio Emmanuele :
LLD,PMS,Cemodo sosto capitada fin ca?Biancognee ra i à contà ra sò storia:
SCN,LIJ,"Cuscì nu possu beilu! disse u mariunettu, fandu mille smorfie."
VEC,PMS,L'Ecomuseo delle Acque del Gemonese:
LLD,VEC,"Ió inveze m ei destirà sul tapeo daante l camerin del portier, par me parà dal fiedo che vienia su da ra taeles."
LMO,LLD,"Mo chi êl Âmos Lèli?, e ló:"
SCN,LMO,... Quell'azenettu sun mi!
LLD,NAP,Ce un guadagno pa ra Postes!
LMO,SCN,ades voi ancora de pi.
VEC,PMS,piú sopra c' è il Museo.
LLD,LMO,Ra veceta coi sarvije color naranza ra brontóla:
SC,VEC,"Vieni, e riposa la fronte qui, sul mio cuore."
LLD,VEC,ma gnanche un el no n ea stà bon de ciatà fora tanta cativieres par tormentà ra sò 'sente.
VEC,LIJ,perché i suo' ballasi non serìa de sì grande valore chome i sono.
LMO,PMS,Quali avvisi meteo teng'?
SCN,NAP,Comunque mò a ccasa so' tturnatu e mugghierima mi tice:
LMO,VEC,"No voree dì pizora, paron."
LLD,VEC,Sentio cuanto che i me peta ra mas?
VEC,LMO,"Inanzi ch'el fosse signior, ello andava ogni ano in oste perché l'era molto pro' e valente, era chavaliero e bon chapetanio."
LLD,VEC,"Tireme fora, tireme fora i craiaa chi poranimes a l orso che inveze l ea soutà fora de r aga inze un vede e no ede."
LIJ,PMS,disse riendu a buña donna.
LLD,VEC,Ra Crodes es somea gran scente de oro.
LLD,VEC,"M aé fato l busc storto!l craia, come l bisc."
LLD,VEC,Ades i ladre i vien despes a l ciatà.
VEC,LLD,el se bete a lourà e l l se sentrea a fei de duto par comedà i sò maroi.
LMO,NAP,G'ho turna famme!
LLD,FUR,"Pies de mereea, i s à betù dute sete intor el lietuco agnoche dromia ra tosa."
VEC,LMO,Che ve pare?.
NAP,SCN,Oggi chiove?
ROA_TARA,NAP,Che sveglie stanno impostate?
ROA_TARA,NAP,Site sicuro ca ll'avite perze cca?
SCN,LIJ,O a bursa o a vitta!
LMO,VEC,"Babo, ce elo suzedù?"
LIJ,LMO,"U Pinocchiu u se gh'apensò 'n pitin, e dapö u disse resulütamente:"
LMO,VEC,Un dì 'Sorśo l s à stufà de se studià i dissegne e l à pensà:
VEC,LLD,Ve salo bel ve prejentà inze chi state a sciore come nosoutre?
VEC,LLD,Duto l brascion el saea nafré de stragno:
EML,VEC,al le dnunzié come soversîv.
NAP,SCN,Quanti millimetri 'e pioggia so' previsti oggi?
VEC,NAP,Mo ve dico!
LIJ,VEC,"Or chavalchò tanto questi valenti omeni che i vene a Tripesende, e da Tripesende veneno a Chostantinopolli, e da Costantinopoli a Negroponte e da Negroponte a Veniexia."
LLD,VEC,Vardà mo ci che drome inze l mè lieto!l à dito l ultimo.
SCN,LMO,"suora Geltrude, na bellezza rara."
LMO,PMS,L'è quèl ch'a sò sémpra pin 'debti!
SCN,LIJ,Perché nu ti vegni ti ascì?
LIJ,SCN,ma u se cunsulò sübbitu cun dî:
VEC,LIJ,"De Chaxar, dov'è la zente molto scharssa e avara."
ROA_TARA,NAP,"Seccédene fattacce, malatéie, se mòre."
VEC,LLD,Zozzetto l no n ea ancora del duto parsuaso:
NAP,VEC,"Le sale e lle chamere sono tute lavorade a oro, et èno nobelisima cossa da veder."
LLD,LMO,In questa zità incontrà una chotal meraveglia.
VEC,PMS,"el nonn è bon da manzar, ma è molto bon da arder e da ongier li chamelli per la rognia e per altre infirmitate."
ROA_TARA,NAP,'a terra cerca na mano amica pe' nu dimane senza cchiu tragedie.
EML,LMO,A fèr côsa pó?
NAP,ROA_TARA,Canciell' tutt' 'e sveglie
SCN,VEC,Ma lu penziéru lore èra lundanu.
ROA_TARA,VEC,"Sò sètte sòre dulce e zembellère, ca se mèsckene e s'èmene."
VEC,LLD,El porzeluco l à conosciù alolo ra osc del loo e l à scomenzà a tremarlà come na foia.
ROA_TARA,NAP,"La maténe quènne spònde u saule, da na fenéstre u vaiche pàllede, velòte de nègghie, fridde, triste còme a mè."
VEC,LLD,El Pirata l s à betù alolo daante:
NAP,LMO,Visualizza tutt' 'e sveglie mie
EML,PMS,A ju'smijà l'an'm d' stu paés a matìn prèst!
VEC,LMO,"E quando egli fono stadi in la tera del Barcha Chan ben uno ano, sì comenzò una guera tra Barcha Chan e Alau, el signior de' Tartari de Levante."
LIJ,LMO,"Però l'a n po andae avaenti acsè, bsògna ch'a m'urganéza!"
VEC,LLD,De sta 'sente ca no se saea pi nuia.
LIJ,VEC,"Questi dodexemilia homeni àno quatro chapetanii, sì che zaschadun de queli quatro sono chapetanii de treamilia."
LLD,VEC,Chi doi i à abù da amete che ra soa l ea ra storia pi curta e i à dà l premio.
PMS,LIJ,Damm'ament'a mi:
LLD,VEC,Invenze l é l cason fato co ra barba de babo Barba.
LLD,VEC,Eco ce che l ea scrito su sun chera carta:
SC,VEC,come hai glorificato Dio?
VEC,ROA_TARA,"E' lui che offre, dona, dispensa."
LIJ,NAP,E però se parteno de llì e vano in luogi chaldi ove si trova erba per lo bestiame.
NAP,LMO,"Col capo chino per il morale schiaffo mi allontanai con passo da ciabatte allor PG stappò per me una Raffo e disse Onest' proprie, a mmerd t'ha fatte!"
EML,LMO,"pum... pum... pum pum pum pum... ch'al sciuptædi li t s'infiléva t e' zarvèl.St'an la va mèi parchè, t e' pòst d e' Landini, u j'è un Catarpiller che é fa snò e' rumàur d'un càmio:"
LMO,NAP,"Bona chesta ... Scarpioi, zentopès, chefar scì:"
LIJ,LMO,"duman, poi, inprendiô a scrive, e duman l'atru inprendiô a fâ i nümmeri."
LLD,VEC,"De chel carnaal de Nin Pize, che l no n à un cru inze scarsela."
LLD,VEC,L é ormai pien de zaarie.
VEC,PMS,"E sì, va bene."
LLD,VEC,"El pescador l é coresc da ra sò femena, che r ea sun sorei:"
LLD,VEC,"In chera sera i zitadis de Huma, gnanche se i se l aesse dito un co l outro, i é 'sude dute par piaza coi ociai negre."
ROA_TARA,NAP,dateme giglie e rose 'n
NAP,SCN,Erano 'e ddiece e mmeza e 'a iurnata era bella.
VEC,LLD,"Pizora, no vosto un bel petin?"
PMS,LLD,Parcé no ve s aeo fates regorà?
VEC,LLD,"Scior, ve preo, no me copade!"
VEC,LMO,"Misier Nicolò respoxe chome era suo figlio, e lui i feze grande chareze."
NAP,SC,"Rispunne, come stisse 'n cunfessione:"
NAP,LMO,Hann sc'nnùt u sant stammatìn Mo c' po' 'bb'jà sta tr'd'cìn!
SCN,PMS,... Scummettu ch'a nu mia perduña!...
LIJ,VEC,Restava senpre da fâ e ganbe e i pê.
LIJ,LMO,Resta chì ancuin pitin e ti ne veddiæ.
LIJ,LMO,Nu gh'é peigu!
SC,VEC,"Qualcuno sano e fresco, altri ammaccati, mosci o intristiti."
VEC,LMO,"Oh, qual vista gentile!"
VEC,PMS,Et a llui sì fèno l'anbasiata del Gran Chaan.
LIJ,ROA_TARA,Ma mi nu sun cumme i atri:
NAP,SC,"Però... vedete... francamente, 'a Terra è nu poco afflittiva.avesse disgustá!... Ma che !"
LIJ,VEC,A cose serve acüzâ i morti?
NAP,PMS,"Peeppeeee, Peppinooooo."
LLD,VEC,es ride co ra sò rodeles.
NAP,SCN,Nun ce 'o ddi'.
LIJ,LLD,Ce podone fei?
LIJ,SCN,Ma u Pinocchiu u l'arestò li;
NAP,ROA_TARA,"É mméndre ca stave angòure lundane l'attane u vedétte, n'avétte piétä, i currétte é sse scettétte ô cuedde é u vasétte."
LMO,NAP,"Prufessó, prufessó aiutateme!Pecché, ch' è stato?"
LMO,LIJ,"No se fesc mia coscì, no."
VEC,LLD,Na ota i aea damandà a un òn:
SCN,LIJ,Doppu mez'ua a porta a s'arvì:
LIJ,VEC,I sono bruni e magri;
VEC,LLD,El loo catio el no n é pi!i s à betù a ciantà i tré fardiei.
SCN,LIJ,Niatri regalli nu ne vuemu rispuze quelli duî marviaggi.
VEC,LMO,Per questa chaxione adora quella zente el fuogo.
VEC,LLD,No te pensesto pi che fin loutradì te 'sies a tuoi su pestorte inze l orto?
LMO,VEC,"Ra machines es aea fame, es 'sia 'sò, es s inrosinaa."
EML,VEC,"Quando i portici erano di legno, só la stòria d Bulåggna)."
SC,SCN,Ricordate ti quistu a ogni ora:
LMO,PMS,"Fardel mè, fardel mè, daerseme!"
NAP,ROA_TARA,cè bbrutta mamme ca tènghe iòie nna me canòsce la malatòie.
LLD,VEC,"Chi pize i soutarlea sul cuerto de chera ciaseta e calche ota, canche l scior Gustavo el no n é là, i sconde ra ciasa inpó na ceja."
LMO,NAP,Nìch' nàch' nonna eia figliàta la maronna ha fàtt' nnu bèll' bammìne e l'ha chiamate Ggiuànnìne.
VEC,LMO,"egli li taiano atorno chome se fa le zuche da salvare, e poi li meteno a sechar al solle, e deventano dolzi chome mielle;"
LLD,VEC,"Chesto l ea propio massa, e l pescador el no n à oussà rebecà."
NAP,LMO,re iuorn pl'aria abbolene a mmorra farfalle e avucielle e re sera tu abbranche stelle a mmìll' a mmìll'.
VEC,LIJ,"el loo l ea beleche là, pi infamentà che mai."
LIJ,VEC,curioso fui allor punto sul vivo da un grande uomo dall'aspetto andino.
SCN,LIJ,U n'ha ciammòu cuu numme de peccuei murtali!... Pinocchiu!
VEC,PMS,"E i pi pize Pare, se son un bon, me portesto un bol de mile saore?"
SCN,PMS,"Raggiona, no era mugghiu Lassa cenca fascivi?"
LMO,LLD,"Sé vosoutre che no ve cordà, e no lascià dromì in pasc i galantome."
LIJ,VEC,e àno asai oglio d'oliva e fano olio de somenti e de susimani et de noxie.
LLD,SCN,Biancognee r é ancora viva.
LMO,FUR,"Duncje stait atents, nevoduts miei!."
LLD,VEC,Lasciame portà via Biancognee con me l i à dito ai nanete.
VEC,PMS,Dinultima anche Antonelli l à tirà su ra testa:
LIJ,SCN,"U l'é 'n scaviççu, ün desvügiòu, ün pelandrun... U Pinocchiu u s'ascuze a faccia sutta i lençö."
LIJ,SCN,criò u Pinocchiu de 'n tun despiòu:
LMO,FUR,I é tornade dute inze cojina in ponta de pès e i à zenà;
LLD,VEC,"Ra tartarughes es vedea senpre passà l 'Siro d Italia, e co l é dinultima i é vienù na gran chiza de core co ra bicicleta."
LLD,LMO,"ei pagà un bilieto, stago inze ra prima strada a man dreta e voi che me menade là."
NAP,SCN,Liegg' 'e previsioni d''o tiempo 'e oggi
LIJ,VEC,E Porzeluco Brao?
LIJ,SCN,"U Pinocchiu u dette 'n'atra öggiâ aa brocca, e u nu rispuze ni de sci e ni de na."
VEC,PMS,"Eco mo, ei sarà via chel sassin 'sò inze cianea e ades ciamo i jendarme."
VEC,LLD,"Porzeluco Brao l i à daerto, l à fato 'sì inze sò fardiei e l à betù l palo su ra porta."
LIJ,LMO,"Dumandu scüza, mi nu sun miga in can!... E alua chi l'é che t'ê ti?"
LLD,VEC,Cissà se ra lana de marmo ra sciouda come chera de lana!
LMO,VEC,"E vui m'ei za perdunòu, n'é vea?"
LIJ,PMS,E dapö u cumençò a baiâ;
LMO,VEC,es no n é)!
LLD,LIJ,"L ea sparì anche i guardies e, inveze del palazo, l ea danoo l sò por brite:"
ROA_TARA,NAP,"S'abbènne u sàule, se vè a còlche ind'a maire, e fòce de brellènde tòtta l'acque."
VEC,PMS,"Pensa e pensa, i sponta anche chel outro mostacio."
VEC,LLD,"Donca, ades ve conto duto."
LLD,VEC,Par fortuna na tonada pi forte de ches outres ra l desceda.
LLD,VEC,Ra l à tanto sciosciodà su che el dì dapò chel por diou l é 'sù là dal lido e l à ciamà el pesceto:
SCN,LIJ,arvi i öggi e amiime!
LLD,FUR,"Le à scrite Laura Giavitto, 24 agns, di Glemone:"
VEC,NAP,... dell'ufficio mio?
SCN,VEC,Chanbelu si è a dire in nostra lingua 'zità del signior'.
FUR,VEC,"Inveze no, son ancora ca a fei divijios e sotres."
SCN,VEC,So' virulo 'a tantu tempo!
VEC,LMO,La chaxone per che el non fè' mazior exerzito è questa:
EML,LIJ,Cla matòina avìmi la Bracconi ch'l'a s féva italién.
VEC,LMO,"(Son parsuaso, sciora diretora, che Gian Luigi l voresse dì nordica:"
VEC,LMO,"E tu ce disto, Balota?(Balota sarae ió:"
LMO,LIJ,"Nascian mariunetti, vivan mariunetti e möan mariunetti."
SCN,LIJ,e ou sei u perché?
LLD,VEC,"Chel por diou, agro de scotà ra sò femena che ra craiaa e ra i cridaa, el sin é su."
EML,LMO,Pò al s i avṡiné col curtèl in man e la fâza bûra.
LIJ,ROA_TARA,Sun leggiu cumme 'na föggia.
LIJ,SCN,"A quest'inviu u Crôu, faxenduse avanti pou primmu, u l'atastò u pusu ou Pinocchiu, dapö u gh'atastò u nazu, dapöscia u diu marmellin di pê;"
LMO,NAP,Pò dint a cucín u such cu rraù jì 'mbunnév u pèn p' m' 'dd'cr'jà e sèmp m' 'nzacchèv na bott cu cuppín !
PMS,VEC,"Nescìune vòle mbré, ma capé la rasciaune de ci nan vòle stòie mbòce."
VEC,PMS,"Al professor Martini, co l é a ciasa, i piaje fei late e cacao."
VEC,NAP,Te pare luongo n'anno e passa ambressa;
LIJ,VEC,Egli sono sotoposti al Grande Chaan e àno chostumi d'i Tartari;
PMS,LLD,Parcé mo no molone duto e sin 'son?
LMO,VEC,Anchora ve n'è faxiani ch'è de grandeza de queli dele nostre chontrà;
LLD,LMO,"Ió poi te salvà, ma tu t aaras da me dà un grun de ra tò pites."
LLD,NAP,Ra veceta ra se stiza e ra vorarae ciamà l bilietario.
LLD,VEC,"Ra sò barba r é deentada ogni an pi longa, e el no se r à mai fata taià."
NAP,PMS,É ccude i decétte:
LLD,PMS,L é passà i dis e i mesc:
LIJ,PMS,Figüæve u povou Arlichin!
LIJ,SCN,Pe parécchi anni la fata arruavu punduale ogni sèi de jnnaru.
VEC,LIJ,Uno di quelli savii diseno al chalifo:
VEC,LMO,"Del castello ch'è in Persia, innel qual stano quelli che adorano el fuogo."
LIJ,ROA_TARA,U se sentì cumme muî:
LLD,VEC,"No te t inacorses, ma te sos portà par i conte."
NAP,SCN,"tu sola, cu st'arietta ca scioscia 'a matina, tu, tu sola puo' fa Nunziatina a stu core c'aspetta turnà."
LIJ,LMO,ghe dumandò u Mangiafögu.
NAP,SC,"francamente, 'a Terra è nu poco afflittiva."
VEC,LLD,"Dime duto, babo."
SCN,LIJ,Niatri repigiò a Vurpe nu travagemmu pe 'n vile interesse:
LLD,VEC,"Antonio l me tolea sun brazo e l me menaa a vede l sò laoro, inze chel outro cianton de stua:"
NAP,VEC,"Tutto il corpo dei pompieri con il capo in uniforme, e l'agente 'e polizia ca curreva tuome tuorne!"
LLD,ROA_TARA,l i responde l scior Boemondo.
LLD,VEC,"Ah, se podesse aé na pupa bianca come l gnee, rossa come l sango e coi ciaei negre come sta funestres!r à abù dito ra rejina."
SC,LMO,T'hee vist?
LLD,VEC,Somea che l ebe ra salata sun testa.
LLD,VEC,"Biancognee, duta confujionada su, r à tolesc el toco ros e invelenà, ra l à tazà e r é tomada 'sobas."
LIJ,SCN,disse u Farcu asbasciandu u beccu in attu de revença;
SC,VEC,"Lei si sporge un pochino dall'uscio ed indugia, qualche istante, a vederti partire."
PMS,FUR,sin 'son dute.
LIJ,SCN,Me dà fastiddiu a porta da stançia ch'a l'é inbâgiâ.
LLD,LMO,Ma ió no n ei gnon Balota.
LMO,LIJ,T'hò ditu che tia finisci de rie!
VEC,LLD,"E se voi na pianta, vado inze i orte de Comun."
NAP,ROA_TARA,"Picche sò chire ca pénzene a fa béne, o munne mbòce, tranguille e serène, e spisse dìcene:"
NAP,ROA_TARA,"E huaragnava, huaragnava tànd' eppò tànd', ra putué sta còmete ch' tòtta la famiglia ca t'néva 'nguolle."
LIJ,SCN,"E rizan, rizan, rizan da duveise areze u corpu:"
LIJ,SCN,... Nu stâmel'a dî! criò u Pinocchiu ch'u tremava ancun daa puiia Nu stâmel'a dî!
NAP,VEC,Et in capo de tre zornate se trova una provinzia pizolla ch'è tre zornate per ogni parte ed è apellata Vochan.
LLD,LMO,Ra prinzipessa ra s à descedà e r à tornà a vive.
NAP,LLD,Ce asto mo inze inze chera testata?
LIJ,SCN,E' na balleréne de Degas?
SCN,NAP,"No ffondi a strate, no ccase a mmuru, no mugghiere beddha ca no ssì patrunu;"
LLD,VEC,"Coscita ra i à damandà al cazador del castel de me copà, ma i ei fato pecà e l m à lascià scanpà."
SCN,NAP,"Nu, nu, nu!"
LIJ,VEC,"In questa provinzia si è re l'uno del parentado del Prete Zane, et è anchora apelato Prete Zane, et è suo nome proprio Iorzo."
VEC,SCN,El Cervino l rugna:
SCN,LIJ,"Nui tré simmu maghi, pe quéstu cunuscimmu lu munnu de la magja."
LMO,LLD,Vosto che dute viene a saé i afare nostre?
VEC,NAP,i sono grande choradori e portano tropo ben la soma.
SCN,FUR,"armini, nestorini, iachobim e persi."
LIJ,VEC,E anchora g'è vene d'azuro e de andanicho.
FUR,SCN,In ce si puedial incidi?
LLD,VEC,"Intrà duta ra steles che se vede, l à dito l Pirata, no in elo gnanche una col nosc gnon?Calchedun l à rugnà."
NAP,SCN,Ma tu 'o ssaie!
LLD,VEC,"Lascia via r à dito ra Sardegna, che r aea nafré pi de zanco."
LLD,VEC,"Daante de lore l ea solo un gran pian duto voito, e ra crodes es tiraa l col par vede ce che l ea fora in son."
LLD,SCN,Poereto ra disc ra nona.
VEC,LMO,In questa contrà è el mior muschio che sia al mondo.
LMO,PMS,Tragedi de pòver crist:
LIJ,LMO,"Ma proprio ha molto, molto migliorato ."
EML,LIJ,Silénsi dre a la véja ch'la vén d'indùa 'd paz en ga n'è méja.
LLD,VEC,L é propio ra sbires de ra jungla.
PMS,LMO,"conquista, orgòli, piasè, trasgression... Per lee tenerèzza, spasim, arlia, amor pur... amor carnal a la fin!"
LIJ,VEC,E se n'andòn.
LLD,VEC,"Se Vos fossassà un pescador, e duta ra bonores un pescion el ve pestasse su ra rede, cemodo fejassao a tirà inaante?"
VEC,LMO,El scior Ejisto l é gramo parceche no i sponta i mostace.
LLD,VEC,"Romane e foreste i à scomenzà a sin ciamà duto una e calchedun vorea se ciapà inze, canche na foresta r à dito:"
EML,FUR,E dâi e dâi fén ch'an s é cuêrt al cûl dal tegâm (o ch'an s é finé äl cèr).
LIJ,LMO,"E missuse turna a cascetta da mortu inscee spalle, sciurtin daa stançia barbutandu e mugugnandu frai denti."
VEC,LLD,Coscita fejo ride
LLD,VEC,"Dapò de na note, un dì e un outra note, l é moesc ves el castel, avelì parceche el saea che l arae fato na burta fin."
LIJ,VEC,De questi corni fano li pastori grande schudelle ove i manzano;
NAP,LIJ,"Egli fano maxerare quelle schorze e deventano fille che èno chome sete de chavalo, e fano questo fillo e chuxeno le lor nave chon esso;"
LLD,LMO,"Sto numero l aarae da ve dià a ve ra caà, ve dà ra direzion de un restorant agnó magnà in cardanza, e 'sò indrioman."
VEC,LMO,Or lasiamo de questa provinzia e sì anderemo inanzi;
LIJ,VEC,"In tute queste tre zornate nonn è niuna abitazion, ma èno sollamente deserti e tereno molto arido."
LLD,VEC,Par chesto l à ciapà na fota coscì granda che l s à marà e l é morto.
NAP,VEC,Qual è 'a previsione 'e pioggia tra 'n'ora in Corea del Sud?
SCN,LMO,u dumandò ou mariunettu.
VEC,LIJ,Non c'è tempo per proseguire nell'oracolo:
SCN,ROA_TARA,Po' nge re facimmu purtà a l'auti.
LIJ,VEC,"Mò u n s'durmôiva, péna t'ciudivi j'ôcc:"
EML,LMO,"Patrón du paés A pr'c'ssión e tutt i gènt apprèss u spèr 'mmèzz a strèd, a batterìj."
LIJ,LMO,"Lì era abondanzia e dilleto d'ogni dellichato fruto, e lì era pallazi belletisimi, tuti depenti e dorati, sì che tropo erano bella chossa."
NAP,LMO,"E che cuperta, neh, che seta fina!"
SCN,FUR,Enfretors (Paluce) e Nearies (Sudri).
